,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.012444238949844316,0.41704025221729546,0.20847267239073958,0.01724398633230639,0.041005415683777434,0.7006398950809349,0.1876635686790473,0.5509161866548666,0.06648701353821336
1,KNN,0.017131101593205775,0.3154737505454596,0.08168587537067273,0.016592141586398455,0.06951564587980855,0.4010879777135596,0.26398949287739615,0.05653921525090558,0.07387004417980725
2,KthNN,0.016840209517339493,0.31185437808414995,0.08130888704654884,0.01688865874538053,0.06535452253243826,0.38011017838267147,0.25551367971891653,0.056816745870201905,0.07220482836914123
3,LOF,0.021011555007158393,0.28147757452664796,0.08274837729149129,0.01713622086070088,0.0691437023957728,0.026113948054707202,0.24248176973897362,0.06311723433816528,0.06874901181852608
4,CBLOF,0.001006024534893996,0.12371312941762005,0.11393936522155809,0.023247219747669988,0.03571548345799534,0.1653872960108474,0.03953860327259004,0.01497114573441747,0.047022292128042056
5,uCBLOF,0.010385715244551487,0.31887631903307423,0.08378590891619203,0.01581988315864595,0.05958109302681021,0.20504532511586976,0.23579359761559623,0.056421357793484984,0.06128217601888067
6,LOoP,0.025194293811381073,0.3050913098682283,0.1888486726960543,0.017165866218166244,0.07906626884891607,0.025930782097499654,0.22773848036106978,0.06413700575426823,0.07228190761941417
7,LDCOF,0.0012681159420289854,0.12683981065269978,0.06853693181818182,0.01711210464909803,0.015085714285714286,0.16582440353238367,0.10669642857142858,0.08086080586080585,0.01807477793844247
8,HBOS,0.010838663581744618,0.39221319219498774,0.19543904285153957,0.01597579506555135,0.03614645155101833,0.908828797018859,0.19884436837962038,0.6532720266010293,0.1331758172473611
9,OCSVM,0.08854026349371802,0.2558494046271043,0.1155396746240942,0.01953357785861442,0.07833073335362345,0.24675805720251515,0.06755795572013235,0.015059513074224153,0.061400534646218356
10,Nu-OCSVM,0.08859896393320928,0.16435185263732102,0.12091018637098731,0.017970389037920864,0.07810955280853411,0.2550751659824543,0.053407053436212895,0.01389156341532144,0.061400534646218356
