,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.01922727508443106,0.27957770069654786,0.2515967032633966,0.01682584512959486,0.04520595372518027,0.5908799033959957,0.20728662710127016,0.49267040504947635,0.06816200586623003
1,KNN,0.04531795659030289,0.33303434792031245,0.22339661511882783,0.016909878996375926,0.07031082631565128,0.3869523253853531,0.2422382014610868,0.10878850175057882,0.06558982976199496
2,KthNN,0.03848880320761972,0.3554646523171665,0.2300309230012182,0.016610575682724497,0.06422333687624603,0.39130107510468276,0.23295521884769096,0.09981698362505624,0.06058654735595685
3,LOF,0.05332072814169339,0.20123441445668655,0.11081712357758819,0.01751034977075825,0.06400661426083175,0.022018726144483622,0.29222163200268214,0.19436881048964857,0.08809056134291716
4,CBLOF,0.019225369660733745,0.17772710579204898,0.014579941840757601,0.024376609863102392,0.027545853746854296,0.011582193771542593,0.0796726161579833,0.011092366854117493,0.05586429117518923
5,uCBLOF,0.02699308876442252,0.33469458711261557,0.24394614496061537,0.016547620544507098,0.06037717368449061,0.35778521731187013,0.2141665651211812,0.22948242195226856,0.06117804118026139
6,LOoP,0.01779827182966716,0.19158724437344302,0.22052445674172533,0.017691527159317967,0.07221925328963001,0.023032411583435736,0.28725835925031534,0.17982748481372002,0.0958193189956817
7,LDCOF,0.004160936806474863,0.24842104645293078,0.14334724378881986,0.019069440775308654,0.04310182246062698,0.1334269397817012,0.16300414917014755,0.2693338922713457,0.05438127771333728
8,HBOS,0.015541532121559022,0.24397184787860687,0.22154262400552427,0.015244094736692495,0.0480670996171047,0.7318965954225096,0.18752728522542908,0.6117070836751921,0.1368872008523398
9,OCSVM,0.019720265809446056,0.2834677837611833,0.22771003635040463,0.018802533703499866,0.06615007311247958,0.28704735619797667,0.21205142651629486,0.13298336152462617,0.04467270928645833
10,Nu-OCSVM,0.021015863647977896,0.26882608142661674,0.22810799542656396,0.013395059981259578,0.06519016250450536,0.3034313023372094,0.21164540673477522,0.12521595065440752,0.04467270928645833
