,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.0048022443985922154,0.11024405937199722,0.16617435948314074,0.017750655790076696,0.05761486520524763,0.03478705877472692,0.1345846701645281,0.011805048993500284,0.0711364066255897
1,KNN,0.004598659754947767,0.11173550318994582,0.1660993323232134,0.019060658365654876,0.08798494305652685,0.05351640272515308,0.14700813279737784,0.010949626756958403,0.06952234745462602
2,KthNN,0.004875987946733664,0.11191514013429474,0.16589147009539063,0.019040223990290178,0.08389437294041775,0.05141017824764803,0.14431813039176633,0.010903264687638421,0.06605365130898463
3,LOF,0.002426444793439644,0.09051106892697065,0.0252343602397283,0.020664745858163018,0.061363979844130265,0.025916645757069555,0.13861426399404841,0.012262646464636656,0.08587985451153424
4,CBLOF,0.0009699417589211854,0.0929043341254274,0.027252703853000857,0.04005490131354377,0.02391181512077282,0.02531976362524562,0.06286786487517898,0.015261765438889602,0.0669725851172622
5,uCBLOF,0.0042535775283924545,0.10838811205916624,0.1647200517675178,0.018895352332707206,0.08074689280886316,0.030687669762787313,0.13427342883596577,0.011892041244872744,0.057813403531924185
6,LOoP,0.0024201251994899814,0.08887869758217065,0.03093395496641604,0.022490992814699094,0.06784231910913459,0.03206201616044034,0.13689366906369038,0.013265159735074696,0.08456785647581333
7,LDCOF,0.0030574043028551356,0.11434833257998919,0.07421875,0.01269028795968212,0.07289573195799809,0.06481025977397888,0.10447728818800246,0.01109286043633477,0.04909861660070314
8,HBOS,0.005197001107482252,0.11391689865966029,0.17112298946483673,0.018972821168896828,0.07602485934120004,0.05311000921154175,0.16667261283871718,0.010768176971358392,0.10139871368046456
9,OCSVM,0.003962696395851531,0.1124948112465714,0.16297425961356057,0.019107063238462035,0.08511530903416473,0.02548177962460424,0.12533740736015672,0.012368638055536023,0.032137693845908255
10,Nu-OCSVM,0.0037475904597646173,0.11445775896839652,0.1626874923974011,0.019087988786362357,0.08481577402520743,0.02457028041333685,0.12094853144918741,0.012716209718054228,0.032137693845908255
11,RED1,0.004988026611805096,0.12509202079480036,0.1681540002769826,0.018407477036746105,0.08055277928970939,0.036755791773870505,0.15455990630533042,0.01054344948147918,0.0334395016645381
12,RED2,0.00555360883771085,0.12582310801269056,0.16907435815203792,0.018506051792962372,0.05049371432732254,0.035235004554826525,0.1644917093456567,0.01054260277626851,0.09062188873286457
