,OD_Algo,pen-local-unsupervised-ad.csv,pen-global-unsupervised-ad.csv,breast-cancer-unsupervised-ad.csv,speech-unsupervised-ad.csv,aloi-unsupervised-ad.csv,shuttle-unsupervised-ad.csv,letter-unsupervised-ad.csv,satellite-unsupervised-ad.csv,annthyroid-unsupervised-ad.csv
0,ISO,0.9162131760556956,0.8948846602922149,0.9363166953528399,0.4351127128028981,0.5718686504153008,0.9681007244432656,0.8185850340136054,0.9474023702278392,0.740821137713551
1,KNN,0.9553400419542152,0.8337277919782891,0.7355134825014342,0.5075267000769563,0.6523737682475236,0.9463970585050424,0.8820680272108844,0.8029146805440154,0.7951625742453003
2,KthNN,0.9460979539719697,0.8315503802581337,0.7277682157200229,0.5078176323741952,0.6288380254420829,0.9384586044613149,0.8781224489795919,0.7998644334630689,0.8063021247933378
3,LOF,0.7645699692943787,0.748745621509041,0.710843373493976,0.48866302532049477,0.712930254108371,0.6730811222054995,0.760517006802721,0.8025866969869243,0.5535190741534506
4,CBLOF,0.6308637096038671,0.3415696298400075,0.4153757888697648,0.5671396662725003,0.4523573028481849,0.29696481890701887,0.38987755102040816,0.38219377268552934,0.24364337762537502
5,uCBLOF,0.956708114188429,0.7695730379626999,0.6626506024096386,0.5193986147868687,0.5872273082135282,0.8897110609515322,0.8447074829931973,0.7850177111120828,0.7889412773253323
6,LOoP,0.7958532210500715,0.7129287765470668,0.6660929432013769,0.4754866077294142,0.7300748023482528,0.6866136092806602,0.7243673469387756,0.7899210652905934,0.5178311187312473
7,LDCOF,0.8786063904174141,0.6796049102212124,0.5880665519219737,0.49798224374495564,0.5588934024132439,0.8591055814973831,0.7873741496598641,0.7340763983032318,0.793155348723287
8,HBOS,0.838567476362752,0.846413582000063,0.9586919104991394,0.4503538112130938,0.564002962879145,0.9956231733178218,0.7149387755102041,0.9368249005116543,0.7991868226073113
9,OCSVM,0.5493266044447147,0.4851841332954652,0.3465289730349971,0.5454792874974191,0.6225796114054163,0.9278145906282781,0.493530612244898,0.46160952464249794,0.7907488824934175
10,Nu-OCSVM,0.6269419025324536,0.5191391334532487,0.5863453815261044,0.5005912495072921,0.6365503018786737,0.9406858477372263,0.5913605442176871,0.34174793370359036,0.7907488824934175
